Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
48,335,518,377,548,531,548,325,640,565,640,308,609,617,609,411,822,497,822,514,1036,411,1036,497,1158,428,1158,700,1
49,335,487,360,518,531,518,342,548,565,640,342,609,582,640,411,792,497,792,411,944,514,975,428,1097,497,1127,670,1
50,304,487,360,518,548,518,360,670,548,640,360,700,582,670,411,792,497,792,411,975,497,1005,428,1097,497,1097,670,1
51,304,487,360,487,548,487,342,670,548,640,342,700,565,700,411,792,497,792,411,975,497,975,428,1097,514,1097,640,0
52,274,457,360,487,531,487,342,609,548,609,325,700,582,670,411,792,497,761,411,975,497,944,428,1097,497,1097,640,0
53,274,457,360,487,531,487,342,609,565,609,291,670,617,670,394,761,497,761,411,975,497,944,411,1097,497,1097,640,0
54,274,457,360,487,531,487,325,579,582,609,257,640,651,609,394,761,480,761,394,944,497,944,411,1066,497,1097,640,0
55,304,487,360,487,531,487,308,579,582,609,222,609,668,579,394,792,480,761,394,914,497,944,411,1097,497,1097,640,0
56,304,487,360,487,531,487,308,579,582,609,205,579,668,579,394,822,480,792,394,853,497,944,411,1097,497,1127,670,1
57,335,518,360,518,531,518,308,609,582,640,240,579,651,609,394,822,480,822,394,883,497,975,411,1127,480,1158,670,1
58,365,548,360,548,531,548,325,640,548,670,274,640,600,640,394,822,497,822,394,914,497,975,394,1158,497,1158,700,1
59,396,548,360,579,531,579,325,640,548,700,308,670,565,700,394,883,480,883,394,914,497,944,394,1158,480,1158,761,1
60,426,579,360,609,531,609,342,700,531,731,342,761,531,761,394,914,480,914,394,1005,480,1158,394,1188,480,1188,761,1
61,426,609,360,640,531,640,342,761,531,822,342,822,531,822,411,944,480,944,394,1005,514,1005,394,1188,480,1188,792,1
62,426,609,360,640,531,670,342,792,548,792,308,853,548,822,394,914,497,944,394,1036,497,1036,394,1188,462,1188,792,1
63,426,579,360,640,531,640,342,731,548,761,274,792,582,792,394,914,480,914,411,1005,480,1158,411,1188,480,1188,792,1
64,396,579,360,609,531,609,325,700,565,700,257,731,617,731,411,883,480,883,411,1036,497,1036,411,1188,480,1188,731,1
65,365,548,342,579,531,579,325,670,582,670,222,670,651,670,394,822,480,822,411,1005,497,975,411,1188,497,1158,700,1
66,335,518,360,548,531,548,308,640,582,640,222,609,651,609,411,822,480,822,394,975,497,1036,411,1127,497,1127,700,1
67,304,487,342,518,531,518,308,609,582,609,257,579,617,579,411,792,497,792,411,1005,497,1005,411,1127,497,1127,670,1
68,304,487,342,487,531,487,325,609,548,609,308,579,582,579,394,792,480,792,411,1005,497,1005,411,1127,497,1097,640,0
69,274,457,342,487,531,487,325,579,565,640,342,609,565,640,480,761,394,792,497,975,394,914,497,1097,411,1097,640,0
70,274,457,342,487,531,487,342,670,531,640,342,700,548,670,394,761,480,792,411,975,497,975,411,1097,497,1097,640,0
71,274,457,342,487,531,457,342,609,531,609,325,700,548,670,394,731,497,761,394,944,497,944,411,1066,497,1097,609,0
72,274,457,342,487,531,457,325,579,548,579,291,670,582,670,394,761,480,761,411,1005,497,944,411,1097,497,1097,640,0
73,274,457,342,487,531,457,308,579,565,609,257,640,617,640,394,761,480,761,394,975,497,975,411,1097,514,1127,640,0
74,304,487,342,487,531,487,308,579,582,609,222,640,651,609,394,792,497,792,411,1066,497,1005,428,1188,514,1127,640,0
75,304,487,360,518,531,487,291,579,582,609,205,609,668,579,394,792,480,792,394,944,497,944,411,1127,514,1127,640,0
76,335,518,360,518,531,518,291,609,582,640,222,609,651,579,411,792,497,792,411,975,497,944,411,1127,514,1158,670,1
77,365,548,360,548,531,579,308,670,565,670,257,640,617,640,394,822,497,822,411,975,497,975,411,1158,514,1158,700,1
78,396,579,360,609,548,609,342,700,548,700,308,700,582,700,411,853,497,853,394,975,514,975,411,1188,497,1188,731,1
79,426,609,360,640,531,640,342,700,548,761,342,761,548,761,411,883,497,883,411,944,514,1036,411,1188,497,1188,761,1
80,426,609,360,640,531,640,342,792,548,792,325,822,548,792,411,914,497,914,411,1005,514,1036,411,1188,497,1188,792,1
81,426,609,342,640,531,640,342,761,548,761,325,822,565,792,411,944,497,944,411,1188,497,1188,428,1188,497,1188,792,1
82,396,579,342,609,531,609,342,700,548,700,291,761,600,731,394,853,480,853,411,1005,514,1005,411,1188,497,1188,731,1
83,365,548,360,579,531,579,325,670,565,670,240,700,634,670,411,853,480,822,411,1005,514,975,411,1188,497,1188,700,1
84,335,518,360,548,531,518,308,640,582,640,222,609,651,609,411,822,480,822,411,1005,497,975,411,1158,497,1158,670,1
85,304,487,342,518,531,518,308,609,582,609,240,548,634,548,411,761,480,761,394,975,497,944,411,1158,497,1127,640,0
86,274,457,360,487,531,487,325,609,565,609,291,548,600,548,480,731,411,761,497,944,411,944,514,1127,411,1097,609,0
87,274,426,342,457,531,457,325,579,565,609,325,579,582,609,480,761,411,761,480,944,411,914,497,1097,411,1066,609,0
88,243,426,342,457,531,457,342,640,531,640,342,640,497,731,394,731,497,731,394,914,480,883,411,1066,480,1066,609,0
89,243,426,342,457,531,457,342,609,531,579,325,670,548,640,394,731,480,731,394,914,480,883,411,1036,497,1066,609,0
90,243,426,342,457,531,457,342,579,531,579,308,670,565,670,394,731,480,700,394,914,480,883,480,1066,497,1066,579,0
91,243,426,342,457,531,457,325,579,548,579,274,670,600,640,394,731,480,731,394,883,497,914,411,1066,497,1097,609,0
92,274,457,342,457,531,457,308,579,565,579,240,640,634,609,394,761,480,761,394,822,480,853,394,1066,497,1097,609,0
93,274,457,342,487,531,487,308,579,582,579,205,609,668,579,394,761,480,761,377,944,497,944,394,1097,497,1097,640,0
94,304,487,342,518,531,487,291,609,582,609,205,579,668,579,394,761,497,761,377,944,480,914,394,1127,497,1127,640,0
95,335,518,360,518,514,518,291,609,565,640,222,609,634,579,394,822,497,792,377,944,480,914,394,1127,497,1158,670,1
96,365,548,360,579,531,579,308,670,548,670,274,640,600,640,394,822,480,822,377,944,480,883,394,1158,497,1158,700,1
97,396,579,360,609,531,609,325,700,514,731,308,700,548,700,394,883,480,883,377,944,497,975,394,1188,497,1188,761,1
98,426,609,342,640,531,640,342,731,531,761,342,761,531,792,394,883,480,883,377,975,497,1036,394,1188,497,1188,761,1
