Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
46,579,731,360,761,548,731,325,883,582,853,308,975,634,944,411,944,497,914,428,1097,531,1127,445,1249,514,1280,822,0
47,579,761,360,731,531,731,342,883,565,853,308,975,617,944,428,944,497,944,428,1097,531,1097,462,1280,514,1280,853,0
48,579,761,360,761,514,700,342,853,582,853,274,944,617,944,428,944,497,914,428,1097,531,1127,445,1310,514,1310,853,0
49,609,761,360,761,531,731,308,883,582,853,240,914,617,914,428,975,514,975,428,1127,531,1158,445,1340,514,1340,853,0
50,609,792,377,792,514,731,308,853,582,822,222,914,651,883,428,1005,514,1005,445,1188,531,1188,445,1371,514,1371,883,1
51,640,792,377,792,514,731,291,883,582,853,205,914,651,883,428,1036,514,1005,428,1188,531,1188,428,1371,514,1401,883,1
52,670,822,377,822,514,792,308,883,600,853,325,914,702,883,445,1066,514,1036,428,1219,531,1219,428,1401,514,1401,944,1
53,700,853,377,853,514,822,308,883,600,914,668,914,274,975,428,1097,497,1066,428,1249,531,1219,428,1432,514,1432,975,1
54,731,883,377,883,531,883,308,975,582,975,291,1036,651,975,428,1097,514,1097,428,1280,531,1249,445,1432,514,1432,1005,1
55,731,914,360,944,531,914,325,1066,600,975,325,1097,634,1036,428,1158,497,1127,428,1340,531,1280,462,1432,514,1432,1036,1
56,731,914,360,914,531,914,342,1066,582,1036,325,1127,600,1097,428,1158,514,1127,428,1340,548,1340,445,1432,514,1432,1036,1
57,700,883,360,914,531,883,342,1036,565,1036,308,1127,582,1097,428,1127,514,1127,411,1310,531,1310,445,1432,514,1432,1005,1
58,670,853,360,853,531,853,325,1005,565,1005,274,1066,600,1066,428,1097,514,1097,428,1310,531,1249,445,1462,514,1432,975,1
59,640,822,360,822,531,822,308,944,582,944,240,1005,634,1036,428,1097,497,1097,428,1310,514,1280,445,1432,531,1432,975,1
60,640,792,360,792,531,792,291,914,600,914,205,944,668,975,411,1036,497,1036,411,1249,514,1249,428,1401,514,1401,914,1
61,609,792,360,792,531,761,291,853,600,883,205,883,702,914,411,1005,497,975,428,1188,514,1158,428,1310,514,1371,883,1
62,609,761,360,761,514,731,291,853,600,853,222,853,702,853,411,975,497,975,428,1158,514,1158,428,1310,497,1340,853,0
63,579,761,360,761,514,731,291,853,582,822,240,883,582,761,411,975,497,975,428,1158,514,1158,445,1310,497,1310,853,0
64,579,761,360,731,514,731,308,822,600,822,257,914,668,883,411,975,497,944,428,1158,514,1158,445,1310,497,1280,853,0
65,579,761,342,761,514,700,308,883,582,822,274,975,634,944,411,975,497,944,428,1127,514,1127,445,1280,497,1280,853,0
66,579,761,360,761,531,731,325,883,565,853,291,975,617,975,411,975,497,944,428,1127,514,1127,445,1280,497,1280,853,0
67,609,761,360,761,548,761,325,883,565,883,291,975,600,944,411,975,497,944,428,1127,514,1127,445,1310,497,1280,853,0
68,609,792,360,792,531,761,325,883,582,883,274,944,617,944,411,1005,497,975,428,1158,514,1158,445,1310,497,1340,883,1
69,640,792,377,792,531,761,308,883,582,883,240,914,634,914,411,1005,497,975,428,1158,514,1158,445,1340,497,1340,883,1
70,640,822,360,822,514,761,291,883,600,883,222,914,685,914,394,1005,514,1036,428,1188,497,1188,445,1340,497,1371,914,1
71,761,853,531,822,360,853,617,914,291,914,702,914,222,944,514,1036,394,1066,497,1219,428,1219,497,1371,445,1371,944,1
72,700,853,514,822,360,883,617,944,308,944,702,944,240,1005,497,1066,394,1066,514,1219,428,1249,497,1401,445,1401,975,1
73,731,914,377,914,514,883,308,975,582,944,274,1066,668,1005,411,1127,497,1127,428,1280,514,1280,462,1401,497,1401,1005,1
74,761,914,377,914,548,914,325,1036,600,1005,308,1097,634,1066,411,1158,497,1158,428,1310,514,1280,445,1432,497,1401,1036,1
75,731,914,377,944,548,914,342,1066,582,1066,291,1127,600,1127,411,1158,514,1158,411,1310,514,1371,445,1432,497,1401,1036,1
76,731,914,377,914,548,883,342,1036,565,1036,291,1097,582,1127,428,1127,514,1127,411,1280,531,1280,445,1432,497,1401,1036,1
77,700,853,377,883,548,853,342,1005,582,1005,274,1066,600,1066,428,1127,497,1127,411,1280,514,1310,445,1401,497,1432,1005,1
78,670,822,377,822,548,822,325,944,582,944,257,975,634,1005,428,1097,497,1066,428,1249,514,1249,445,1401,497,1401,944,1
79,640,792,377,792,548,792,308,914,617,914,222,914,651,944,411,1036,497,1036,428,1219,497,1219,445,1340,497,1371,914,1
80,609,761,360,792,531,761,308,883,600,853,222,883,685,914,411,1005,497,1005,428,1219,514,1188,445,1371,497,1371,883,1
81,579,761,377,761,531,731,308,853,617,822,222,853,720,853,428,1005,497,975,428,1219,514,1158,445,1340,497,1340,883,1
82,579,731,377,761,514,700,325,822,600,792,257,853,720,822,428,944,514,944,428,1127,514,1127,445,1310,497,1310,853,0
83,579,731,377,731,531,700,308,853,617,792,274,883,685,853,428,944,514,944,428,1127,531,1097,462,1310,497,1280,853,0
84,579,731,377,731,531,700,325,853,617,792,291,914,668,883,428,975,514,944,428,1097,531,1036,462,1310,514,1280,853,0
85,579,731,377,731,548,731,325,883,600,853,308,944,634,914,428,975,514,944,428,1097,514,1188,462,1310,514,1280,853,0
86,579,731,377,731,548,731,342,853,582,853,308,944,617,944,428,944,514,944,428,1127,531,1127,462,1310,514,1310,853,0
87,579,731,377,761,548,731,342,853,582,853,308,944,617,944,428,975,514,975,428,1158,531,1158,445,1340,531,1340,853,0
88,579,731,377,761,565,761,325,853,600,883,291,944,634,944,428,975,514,975,445,1158,531,1158,445,1340,531,1371,853,0
89,609,761,394,761,565,761,325,883,600,883,257,944,668,914,428,1005,514,1005,445,1188,531,1158,462,1371,548,1371,883,1
90,609,792,394,792,548,761,325,944,617,883,257,944,222,944,428,1036,514,1036,445,1188,531,1188,462,1371,548,1371,914,1
91,640,822,394,822,565,822,308,944,634,914,240,944,720,914,428,1066,514,1036,445,1219,548,1219,462,1401,548,1401,944,1
92,670,853,394,853,548,853,342,944,634,944,274,975,702,944,428,1097,531,1097,445,1280,548,1249,462,1432,531,1432,975,1
93,700,883,394,883,565,883,342,1005,634,975,291,1036,685,1005,445,1158,531,1127,445,1310,548,1310,462,1462,531,1462,1005,1
94,731,883,394,914,565,914,360,1036,617,1005,308,1066,651,1066,445,1188,531,1158,445,1310,565,1310,480,1462,531,1462,1036,1
95,700,883,394,914,565,914,325,1066,600,1036,308,1097,634,1097,462,1158,531,1158,445,1310,565,1310,462,1432,531,1462,1036,1
96,700,853,394,883,565,883,360,1036,600,1005,291,1066,634,1097,462,1127,531,1127,445,1219,565,1310,480,1432,531,1462,1005,1
97,670,822,394,853,565,853,325,1005,617,975,257,1005,668,1036,445,1097,531,1097,445,1219,548,1219,462,1432,548,1432,975,1
98,640,792,394,822,565,792,325,944,634,944,257,944,702,975,445,1066,531,1066,445,1249,548,1249,462,1432,565,1401,944,1
99,609,761,565,761,377,792,634,883,308,914,720,944,240,914,514,1005,428,1036,531,1188,445,1219,565,1371,462,1371,883,1
100,579,761,377,792,548,731,600,883,325,883,325,944,737,853,428,1005,514,975,445,1158,531,1158,480,1371,548,1371,883,1
101,579,731,531,700,377,761,600,883,308,883,325,944,720,853,428,1005,531,975,445,1158,548,1127,462,1310,531,1340,853,0
102,579,731,548,731,394,761,600,822,325,853,325,975,702,883,411,975,531,944,445,1127,445,1127,531,1280,462,1280,853,0
103,579,731,565,731,377,761,600,822,325,944,308,975,325,975,411,955,428,944,548,1097,445,1127,531,1280,462,1280,853,0
104,579,761,377,761,565,731,360,883,600,853,325,975,634,944,428,944,531,944,445,1127,565,1097,462,1280,531,1280,853,0
105,579,761,394,761,565,731,360,853,600,883,308,944,634,944,445,914,531,914,445,1097,548,1066,462,1280,531,1310,822,0
106,579,761,394,761,565,731,325,853,600,853,274,914,651,914,428,944,531,914,445,1127,565,1097,445,1280,531,1310,853,0
107,609,761,394,761,565,761,308,853,617,853,240,914,634,853,445,975,531,975,445,1066,548,1097,445,1310,531,1340,883,1
108,640,792,411,792,531,731,308,853,617,853,222,883,600,761,445,975,531,975,445,1158,548,1158,445,1340,531,1371,883,1
109,640,822,394,822,565,792,308,883,651,883,240,883,737,853,445,1005,531,1005,462,1188,548,1158,462,1371,531,1371,914,1
110,670,853,548,822,394,853,634,883,308,914,685,883,274,914,531,1036,428,1066,531,1219,445,1249,531,1401,462,1401,944,1
111,700,883,394,883,548,822,360,914,617,914,325,944,668,914,445,1097,531,1066,445,1249,548,1219,462,1401,531,1401,975,1
112,761,914,394,914,565,883,342,975,617,944,325,1005,634,975,445,1127,531,1127,445,1310,548,1249,480,1432,531,1432,1005,1
113,731,914,394,944,565,914,342,1036,617,1005,360,1066,634,1036,445,1158,531,1158,445,1310,548,1340,480,1432,531,1432,1036,1
114,731,914,394,914,565,914,360,1066,617,1036,360,1097,634,1066,445,1158,531,1158,428,1310,548,1371,480,1432,531,1432,1036,1
