Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
48,304,518,411,579,651,579,394,731,685,731,411,761,702,731,497,883,582,883,480,1066,600,1066,497,1249,582,1280,731,1
49,335,518,411,609,634,609,394,792,685,761,394,792,685,761,497,914,582,914,480,1249,600,1036,480,1249,582,1280,761,1
50,335,518,411,609,651,609,394,761,685,761,377,822,702,792,480,914,582,914,480,1219,582,1249,497,1310,565,1280,761,1
51,304,518,411,579,651,579,394,761,685,731,360,822,720,761,480,914,582,914,480,1219,582,1097,497,1310,582,1280,731,1
52,274,457,411,548,651,548,394,700,668,700,325,761,737,700,480,883,582,853,462,1036,600,1097,514,1280,582,1280,700,1
53,243,426,411,518,634,487,377,670,668,640,308,731,754,670,480,883,582,853,480,1066,582,1066,497,1249,600,1280,700,1
54,213,396,411,487,634,457,360,640,685,609,274,670,788,609,480,822,582,822,480,1066,582,1036,480,1219,600,1249,640,0
55,182,365,411,457,634,426,360,609,702,579,257,609,788,548,497,792,600,792,480,1036,600,1036,480,1219,582,1249,609,0
56,152,365,411,426,634,426,360,579,702,548,240,579,788,518,497,761,600,761,480,1005,600,1005,497,1219,600,1219,609,0
57,152,365,411,426,634,396,342,579,702,548,257,548,788,487,497,761,600,761,480,1005,600,1005,497,1188,582,1188,579,0
58,152,335,428,426,634,396,360,548,702,518,257,518,788,457,497,761,600,761,480,1005,600,1005,497,1188,600,1219,579,0
59,152,365,428,426,634,396,377,579,702,548,291,518,771,487,497,761,600,761,497,1005,600,975,497,1188,600,1188,579,0
60,152,365,428,426,651,426,394,579,685,548,308,518,754,487,497,761,600,761,497,1005,600,1005,514,1219,600,1188,609,0
61,182,396,428,457,651,426,394,579,685,579,342,548,737,518,480,792,600,761,497,1066,600,1005,497,1219,617,1219,609,0
62,213,396,428,457,651,457,411,609,668,609,360,579,720,579,480,822,600,792,497,1066,600,1036,514,1219,617,1249,640,0
63,243,426,428,518,651,487,428,670,668,640,394,640,720,609,497,822,600,822,497,1036,617,1036,514,1219,617,1249,670,0
64,274,487,428,548,668,518,377,670,702,670,411,670,702,670,497,853,600,853,497,1066,600,944,497,1280,617,1249,700,1
65,304,518,428,579,668,579,394,731,702,700,411,731,720,731,497,883,600,883,497,1066,617,1097,514,1280,617,1280,731,1
66,335,548,445,609,668,609,411,761,702,761,411,792,720,792,497,975,600,975,514,1249,617,1249,531,1280,617,1371,792,1
67,365,548,428,609,668,609,428,761,702,792,394,822,720,822,497,944,600,944,514,1249,617,1219,531,1310,617,1371,792,1
68,335,518,428,609,668,609,411,761,702,761,377,822,720,792,497,914,600,914,514,1249,634,1249,548,1432,617,1401,761,1
69,304,487,428,579,668,579,394,731,702,731,342,792,737,761,497,944,600,914,514,1280,634,1249,531,1432,600,1432,761,1
70,274,457,428,518,651,518,394,700,685,670,325,731,754,700,497,914,600,914,514,1249,634,1219,514,1310,617,1371,731,1
71,243,426,428,518,651,487,377,640,702,640,291,670,771,640,497,853,600,822,497,1097,617,1066,514,1280,617,1249,670,0
72,213,396,428,487,651,457,377,609,702,609,274,640,788,579,497,822,600,792,497,1097,617,1036,497,1249,617,1249,640,0
73,182,396,428,457,651,457,360,609,720,579,274,579,788,548,497,792,600,761,497,1036,600,1005,497,1249,600,1249,609,0
74,182,365,428,457,651,426,360,579,720,579,274,548,805,487,497,792,600,761,497,1005,600,1005,497,1219,600,1219,609,0
75,182,365,428,426,651,426,377,579,702,548,274,548,771,487,497,792,600,761,497,1005,600,1005,514,1219,582,1219,609,0
76,182,365,428,426,634,426,377,579,702,548,291,518,754,518,497,792,600,761,497,1005,600,1005,497,1219,600,1219,609,0
77,182,396,428,457,634,426,377,579,685,579,308,548,754,518,497,792,600,761,497,1036,600,1036,497,1219,582,1219,609,0
78,213,396,428,457,634,457,394,609,668,609,325,548,737,548,497,792,600,792,497,1036,600,1066,497,1219,600,1249,640,0
79,213,426,428,487,634,457,411,640,668,609,360,609,720,579,497,822,600,792,497,1066,600,1036,497,1219,600,1219,640,0
80,243,457,428,518,651,518,428,670,668,640,394,640,702,609,497,853,582,822,497,1097,600,1066,497,1249,600,1249,670,0
81,304,487,428,548,651,548,377,670,685,670,411,700,685,670,480,883,582,883,480,1188,600,1097,497,1280,600,1280,700,1
82,335,518,428,579,651,579,411,731,685,731,411,731,685,731,480,914,582,883,480,1097,600,1005,497,1280,600,1280,731,1
83,365,548,411,609,651,609,411,792,685,761,411,792,685,792,497,944,582,944,462,1066,582,975,497,1280,600,1280,792,1
84,365,548,428,640,651,640,411,792,668,792,411,822,702,822,497,944,582,914,480,1036,600,1036,497,1280,600,1280,792,1
85,365,548,411,640,651,609,394,792,685,792,377,853,702,822,497,944,582,944,497,1280,600,1249,497,1310,600,1280,792,1
86,335,518,411,609,651,609,394,761,685,761,342,853,720,792,497,944,600,944,497,1249,617,1127,497,1432,600,1280,761,1
87,304,487,411,579,634,548,394,731,668,700,325,792,737,731,480,914,600,914,480,1249,600,1249,531,1280,600,1249,731,1
88,274,457,411,548,634,518,377,670,668,670,291,731,754,670,480,883,582,883,480,1097,600,1066,497,1280,600,1249,700,1
89,243,426,411,487,634,487,360,640,685,640,257,670,771,609,480,822,600,822,480,1036,600,1036,497,1249,600,1249,640,0
90,213,396,411,487,634,457,342,609,685,609,240,640,771,579,497,822,582,792,480,1036,600,1036,497,1219,617,1249,640,0
91,182,396,411,457,634,457,342,609,685,579,240,579,771,548,480,792,582,792,497,1005,582,1005,497,1188,600,1219,609,0
92,182,365,411,457,617,426,342,579,685,579,240,548,771,518,480,792,582,792,480,1005,582,1005,497,1188,582,1219,609,0
93,182,365,411,426,617,426,360,579,685,579,257,548,754,518,480,792,582,761,480,975,582,1005,497,1188,582,1188,609,0
94,182,365,411,457,617,426,360,579,668,579,274,548,737,518,480,792,582,792,480,1005,582,1005,497,1188,582,1188,609,0
95,182,396,411,457,617,426,377,609,668,579,291,548,720,518,480,792,582,792,480,1005,582,1036,497,1188,582,1219,609,0
96,213,396,411,457,617,457,377,609,668,609,325,579,702,548,480,822,582,822,480,1036,600,1066,480,1219,617,1249,640,0
97,243,426,411,487,617,487,377,640,651,609,342,609,702,579,480,822,582,822,480,1066,600,1036,497,1249,617,1249,640,0
98,274,457,411,518,617,518,394,670,651,640,377,640,685,640,480,853,582,853,480,1066,600,1097,480,1249,600,1249,700,1
99,304,487,411,548,617,548,360,670,685,670,394,700,668,670,480,914,582,883,480,1005,600,1097,480,1280,582,1280,731,1
100,335,518,411,609,617,579,377,731,685,731,411,761,634,731,480,944,582,914,480,1249,582,975,480,1280,600,1280,761,1
101,365,548,411,609,634,609,411,792,668,731,411,792,668,761,497,944,582,944,480,1036,600,1036,480,1280,582,1280,792,1
102,365,579,411,640,634,640,394,822,651,792,394,853,668,822,480,975,582,975,480,1280,600,1280,480,1319,582,1280,792,1
103,365,548,394,640,634,609,394,792,668,792,377,853,685,822,480,975,582,975,480,1280,600,1249,480,1462,582,1340,792,1
104,335,518,394,609,634,579,394,761,668,761,360,822,685,792,480,944,582,944,480,1280,600,1249,480,1462,560,1340,761,1
105,304,487,394,548,634,548,394,731,668,700,325,792,702,731,480,883,582,883,480,1249,600,1249,480,1319,582,1280,731,1
106,274,457,394,518,634,518,377,670,668,640,308,731,720,670,462,853,582,853,480,1280,600,1097,480,1280,600,1280,700,1
107,243,426,394,487,634,487,360,640,668,640,274,700,754,609,480,853,582,822,462,1036,582,1036,480,1219,600,1249,670,0
108,213,396,411,457,617,457,342,609,685,609,257,640,771,579,480,822,582,792,480,1036,582,1036,480,1219,582,1249,640,0
109,182,396,411,457,634,457,342,609,702,579,240,609,788,548,480,792,582,761,480,1005,582,1005,480,1219,582,1219,609,0
110,182,396,394,457,634,457,342,579,685,548,240,579,771,518,480,792,582,792,480,1005,582,1005,480,1188,582,1219,609,0
111,182,396,411,457,617,426,342,579,685,548,240,548,771,518,480,792,582,792,480,1005,582,1005,497,1219,582,1219,609,0
112,182,396,411,457,617,457,342,579,685,579,257,548,754,518,480,792,582,792,480,1005,582,1036,497,1219,582,1249,609,0
113,213,396,411,457,617,457,360,609,685,579,274,548,754,518,480,822,582,792,480,1066,582,1066,514,1249,600,1249,640,0
114,243,426,411,487,617,487,360,640,668,609,291,579,737,548,480,822,582,822,480,1066,582,1066,514,1249,582,1219,640,0
115,274,457,411,518,617,518,360,670,668,640,308,579,720,579,480,853,582,853,480,1188,582,1188,497,1249,582,1249,670,0
116,304,487,411,548,617,518,377,700,668,670,342,640,720,609,480,883,582,853,462,1036,582,1066,497,1280,582,1280,700,1
117,335,518,411,579,617,579,394,731,668,700,360,670,702,640,480,883,582,914,462,1097,600,1249,497,1280,565,1280,731,1
118,365,548,411,609,617,609,394,761,651,761,377,700,702,700,480,944,582,944,480,1249,582,1249,497,1280,565,1310,761,1
119,396,579,411,640,617,609,411,792,651,761,377,761,685,731,480,914,582,914,480,1097,600,1097,497,1280,582,1310,792,1
120,396,579,411,640,617,609,394,792,685,761,377,792,651,761,480,914,582,914,462,1036,600,1097,497,1280,548,1280,761,1
121,396,548,411,640,634,609,394,792,685,761,377,822,668,761,480,975,582,975,497,1280,582,1249,531,1462,600,1432,792,1
122,365,548,411,609,634,609,394,792,685,792,377,792,685,792,480,1005,582,975,497,1280,582,1280,531,1462,582,1432,792,1
123,335,548,411,609,634,579,394,761,668,731,342,822,702,761,480,975,582,975,480,1280,582,1249,497,1319,582,1432,792,1
