Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
47,457,609,394,670,582,670,325,792,651,761,222,792,754,761,445,944,531,944,462,1158,548,1158,480,1249,548,1280,792,0
48,457,609,394,670,582,670,325,792,668,761,222,792,754,731,445,944,531,944,462,1158,548,1158,480,1249,548,1280,792,0
49,457,640,394,670,565,670,325,761,651,761,240,792,737,731,445,944,531,944,445,1005,548,1005,462,1249,531,1280,822,0
50,487,640,394,700,565,670,325,792,651,761,240,792,737,761,445,944,531,944,462,1158,531,1127,462,1249,531,1280,822,0
51,487,670,394,731,565,700,325,822,651,792,257,822,720,761,445,975,531,975,462,1158,531,1127,462,1280,531,1310,853,0
52,518,700,394,731,548,731,325,853,634,822,274,822,702,792,445,1005,531,1005,462,1158,531,1188,480,1310,531,1310,883,1
53,548,731,394,761,548,761,342,883,617,822,291,883,685,822,445,1036,531,1005,462,1158,531,1158,480,1310,531,1340,883,1
54,609,761,394,792,548,792,360,914,617,883,308,914,668,883,445,1036,514,1036,462,1219,531,1219,480,1340,531,1280,914,1
55,609,792,394,822,565,822,360,944,617,914,325,975,668,944,445,1097,531,1066,462,1280,531,1219,480,1340,548,1340,944,1
56,640,792,377,853,565,822,360,975,617,944,325,1005,651,1005,445,1158,531,1127,480,1340,531,1340,480,1340,548,1432,1005,1
57,609,792,394,822,565,822,342,1005,617,975,325,1036,651,1036,445,1188,531,1188,445,1127,531,1219,480,1340,514,1340,1005,1
58,579,761,377,822,565,792,342,975,600,944,325,1036,634,1036,445,1097,531,1097,445,1188,531,1158,480,1340,514,1340,944,1
59,548,731,377,761,565,761,342,944,600,914,325,1005,634,1005,445,1066,514,1066,462,1249,548,1127,462,1310,514,1340,914,1
60,518,700,377,731,565,731,342,914,617,914,308,975,634,975,428,1036,514,1005,445,1158,548,1127,462,1310,531,1340,883,1
61,487,670,377,731,565,700,342,853,617,853,291,914,634,944,445,1036,514,1005,445,1066,531,1066,462,1280,531,1310,883,1
62,457,640,377,700,565,700,325,822,617,822,274,883,651,914,445,975,531,944,462,1158,548,1188,462,1280,548,1310,822,0
