Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
629,744,600,770,472,770,616,857,456,857,632,914,423,942,569,914,504,942,584,1057,520,1057,568,1143,520,1201,859,1
629,744,600,770,472,770,616,857,472,857,632,914,423,942,568,914,504,942,600,1057,520,1057,569,1143,520,1172,859,1
629,744,600,770,472,770,616,857,456,857,648,914,423,914,569,914,504,942,600,1057,520,1057,552,1143,520,1172,859,1
629,744,472,770,600,770,456,857,616,857,423,914,648,914,504,914,584,914,520,1057,584,1057,520,1201,552,1143,859,1
629,772,472,770,600,770,456,857,616,857,407,914,664,914,504,942,568,914,504,1086,584,1086,520,1201,569,1172,859,1
658,772,472,799,600,799,456,885,616,885,391,914,664,885,504,942,569,942,504,1086,584,1086,520,1229,568,1201,859,1
658,801,472,828,600,799,456,885,616,885,375,914,664,885,504,942,569,942,520,1086,584,1114,520,1229,584,1229,887,0
687,801,600,828,472,828,632,885,439,885,584,885,407,914,504,1000,569,971,520,1114,584,1114,520,1257,584,1257,916,0
715,830,488,857,600,857,439,914,632,914,391,914,391,914,504,1029,568,1000,520,1143,568,1143,520,1257,584,1257,944,0
715,830,600,857,488,857,648,914,439,942,697,885,391,914,568,1057,504,1057,584,1172,504,1172,584,1257,520,1257,973,0
715,859,600,885,488,857,648,942,439,942,697,885,391,914,552,1057,488,1057,584,1172,504,1172,584,1257,520,1257,973,0
715,859,600,857,488,857,648,942,439,942,697,885,407,914,568,1057,504,1057,584,1172,504,1172,584,1257,520,1257,973,0
715,830,600,857,472,857,632,914,423,942,664,914,391,942,569,1029,504,1029,584,1143,504,1143,584,1257,520,1257,944,0
687,801,472,828,600,828,439,914,632,914,407,914,664,914,504,1000,568,1000,504,1114,584,1114,520,1257,584,1257,916,0
658,801,472,799,600,799,439,885,632,885,407,942,648,914,504,971,569,971,504,1114,584,1114,504,1257,584,1257,887,0
658,772,472,799,600,799,456,857,616,857,423,942,648,914,504,942,569,942,504,1086,584,1086,504,1229,584,1229,887,0
629,744,600,799,472,770,616,857,456,857,632,914,423,942,552,942,504,971,584,1086,504,1057,569,1201,504,1229,887,0
629,744,600,770,472,770,616,857,456,857,632,914,423,942,569,942,504,942,584,1057,504,1057,568,1172,520,1201,859,1
629,744,472,770,600,770,456,857,600,857,423,942,616,914,488,942,568,942,504,1057,584,1057,520,1172,568,1143,859,1
629,744,472,770,600,770,456,857,600,857,423,914,632,914,504,942,568,942,504,1057,584,1057,520,1172,552,1143,859,1
629,744,472,770,600,770,456,857,600,857,423,914,632,914,488,942,568,914,504,1057,584,1057,520,1172,568,1172,859,1
629,744,472,770,600,770,456,857,600,857,407,914,648,914,488,942,569,942,504,1057,584,1057,520,1201,568,1172,859,1
629,772,472,770,584,770,456,857,600,885,391,914,664,914,504,942,569,914,504,1057,568,1086,520,1201,568,1201,859,1
658,772,472,799,600,799,439,885,600,885,375,885,664,885,504,942,569,942,504,1086,569,1086,504,1229,569,1229,887,0
658,801,472,828,584,799,439,885,616,885,375,885,664,885,504,971,569,971,504,1086,568,1114,504,1257,584,1229,887,0
687,830,584,828,472,828,632,885,439,914,681,885,359,885,552,971,488,1000,568,1143,504,1114,568,1257,504,1257,916,0
715,830,584,857,472,857,632,914,423,914,681,885,375,914,552,1057,488,1057,569,1143,488,1172,569,1257,504,1257,944,0
715,859,472,857,584,857,423,942,632,914,375,914,681,914,488,1057,569,1057,488,1172,569,1143,504,1257,569,1257,973,0
715,859,472,857,584,857,423,942,632,914,375,914,664,914,488,1057,552,1029,488,1172,569,1172,504,1257,569,1257,973,0
715,830,584,857,472,857,632,914,439,914,664,914,407,914,552,1029,488,1057,569,1143,488,1143,568,1257,504,1257,944,0
687,801,472,828,584,828,439,914,632,914,407,914,648,914,488,1000,552,1000,488,1143,569,1114,504,1257,569,1257,916,0
658,801,472,828,584,799,439,885,616,885,407,914,648,914,488,971,568,971,488,1114,568,1114,504,1257,569,1257,887,0
658,772,456,799,584,799,439,857,616,857,407,914,632,914,488,971,568,942,504,1086,568,1086,504,1229,569,1229,887,0
629,772,585,770,456,770,600,857,439,857,632,914,423,914,568,942,488,971,568,1086,504,1057,568,1201,504,1229,887,0
629,744,456,770,584,770,456,857,600,857,423,914,616,914,488,942,569,942,504,1057,569,1057,504,1201,552,1201,859,1
629,744,456,770,584,770,456,857,600,857,423,914,616,914,488,942,552,914,504,1057,568,1057,504,1201,552,1143,859,1
629,744,456,770,584,770,456,857,600,857,423,914,616,914,488,942,552,914,488,1057,568,1057,504,1172,552,1143,859,1
629,744,456,770,584,770,456,857,600,857,407,914,616,914,488,914,568,914,488,1057,569,1057,504,1172,552,1143,859,1
629,744,456,770,584,770,456,857,600,857,407,914,632,914,488,914,568,914,488,1057,568,1057,504,1201,552,1143,859,1
629,772,456,799,584,770,439,857,600,857,391,914,648,914,488,942,569,914,488,1057,568,1086,504,1201,552,1172,859,1
658,772,584,799,456,799,600,885,439,885,664,914,375,914,552,942,488,971,568,1114,488,1086,552,1201,488,1229,887,0
658,801,456,828,584,799,423,885,616,885,359,914,664,885,488,942,552,942,488,1086,569,1114,488,1257,568,1229,887,0
658,801,456,828,584,828,439,885,616,885,407,942,664,885,504,971,552,971,488,1114,569,1114,488,1257,569,1257,916,0
715,830,456,857,584,857,423,914,632,914,359,914,681,885,488,1000,552,1000,488,1143,569,1143,488,1257,569,1257,916,0
715,830,456,857,584,857,423,942,632,942,375,914,681,914,488,1029,552,1029,488,1143,569,1172,488,1257,552,1257,944,0
715,830,584,857,472,857,632,942,423,942,681,914,375,914,552,1057,488,1086,552,1172,488,1172,552,1257,488,1257,973,0
715,830,584,857,456,857,632,942,423,942,681,885,343,885,552,1057,488,1057,568,1172,488,1143,552,1257,488,1257,944,0
687,830,585,828,456,857,632,914,423,914,664,914,423,914,552,1029,488,1029,569,1143,488,1172,568,1257,488,1257,944,0
658,801,584,828,456,828,632,914,423,885,648,914,407,914,536,1000,488,1000,568,1114,488,1114,568,1257,488,1257,916,0
658,801,456,799,584,799,439,885,616,885,407,914,648,914,488,971,569,942,488,1086,569,1114,488,1257,569,1229,887,0
658,772,584,799,456,799,616,857,439,857,632,914,407,914,552,942,488,971,569,1086,488,1086,569,1229,488,1229,887,0
629,772,584,770,456,770,600,857,439,857,632,914,407,942,552,942,488,942,568,1086,488,1057,552,1201,488,1201,887,1
629,744,456,770,584,770,439,857,600,857,407,914,616,914,488,942,552,914,488,1057,569,1086,504,1201,552,1172,859,1
629,744,472,770,584,770,456,857,600,857,407,914,616,914,488,942,569,914,504,1057,568,1057,504,1172,552,1143,859,1
629,744,472,770,584,770,456,857,600,857,423,914,616,914,488,942,568,914,488,1057,568,1057,504,1172,552,1143,859,1
629,744,472,770,584,770,456,857,600,857,407,914,632,914,488,914,568,914,488,1057,568,1057,504,1172,552,1143,859,1
629,772,472,770,584,770,456,857,600,857,407,914,648,914,504,914,568,914,504,1057,584,1057,504,1201,552,1172,859,1
629,772,472,799,600,799,439,857,600,885,391,914,648,885,504,942,569,942,504,1086,584,1086,504,1229,568,1201,859,1
658,772,472,799,600,799,439,885,616,885,375,914,681,914,504,942,568,942,504,1086,569,1086,504,1229,568,1229,859,0
658,801,600,828,472,828,616,885,439,885,568,942,375,885,552,942,488,971,568,1114,504,1114,584,1257,504,1257,887,0
687,830,472,828,600,828,423,885,632,914,359,885,697,885,504,1000,569,1000,504,1114,568,1143,504,1257,584,1257,916,0
715,830,472,857,600,857,423,914,648,914,375,914,697,885,504,1029,569,1029,504,1143,569,1143,504,1257,585,1257,944,0
715,859,472,857,600,857,423,942,648,942,375,914,697,885,488,1057,568,1057,504,1172,569,1172,504,1257,584,1257,973,0
715,859,472,857,600,885,423,942,648,942,697,885,681,914,488,1057,568,1029,504,1143,584,1172,504,1257,584,1257,973,0
715,830,600,857,472,857,648,914,439,914,681,885,407,914,568,1029,488,1029,584,1172,504,1143,584,1257,504,1257,944,0
687,801,600,828,472,828,632,914,439,914,664,914,423,914,568,1029,504,1029,584,1143,488,1143,584,1257,504,1257,916,0
658,801,600,799,472,799,632,885,439,885,664,914,423,914,569,971,488,1000,584,1114,504,1114,584,1257,504,1257,887,0
658,772,472,799,600,799,456,857,616,857,423,914,648,914,504,942,568,942,504,1086,568,1086,504,1229,584,1229,887,0
629,772,472,770,600,770,456,857,616,857,423,942,632,914,504,942,569,914,504,1057,584,1086,504,1229,584,1201,859,1
629,744,600,770,472,770,616,857,456,857,632,914,423,942,569,942,504,942,584,1086,504,1057,568,1201,504,1201,859,1
629,744,472,770,600,770,456,857,600,857,423,942,616,914,504,914,568,914,504,1057,584,1057,504,1201,569,1172,859,1
629,744,472,770,600,770,456,857,600,857,423,914,616,914,504,914,569,914,504,1057,584,1057,504,1172,552,1143,859,1
629,744,472,770,600,770,456,857,616,857,423,914,632,914,504,914,569,914,504,1057,584,1057,504,1201,552,1143,859,1
629,744,472,770,600,770,456,857,616,857,407,914,648,914,504,914,568,914,504,1057,584,1057,520,1201,552,1143,859,1
629,744,472,770,600,770,456,857,616,857,407,914,648,914,504,914,568,914,504,1057,584,1057,504,1201,552,1172,859,1
629,772,472,770,600,770,456,857,600,857,391,914,584,885,504,942,568,914,504,1086,568,1086,504,1229,569,1201,859,1
658,772,472,799,600,799,439,885,616,885,375,885,648,885,504,942,568,942,504,1086,568,1086,504,1229,568,1229,887,0
658,801,472,828,600,799,439,885,632,885,375,885,664,885,504,971,569,971,504,1114,568,1114,504,1257,569,1257,887,0
687,801,600,828,472,828,632,885,439,885,681,885,359,885,568,1000,504,1029,569,1143,520,1114,568,1257,520,1257,916,0
715,830,472,857,600,857,423,914,648,914,359,914,697,885,504,1029,569,1029,520,1143,584,1143,520,1257,568,1257,944,0
715,830,472,857,600,857,439,914,648,914,375,914,697,885,504,1057,568,1029,504,1143,568,1143,520,1257,568,1257,944,0
715,830,600,857,472,857,648,914,439,914,697,885,375,914,568,1057,504,1057,569,1172,504,1143,569,1257,520,1257,973,0
715,830,472,857,600,857,439,914,648,914,375,914,681,914,504,1029,569,1029,504,1143,568,1143,520,1257,569,1257,944,0
687,830,472,857,600,857,439,914,632,914,391,914,681,914,504,1029,569,1029,504,1143,569,1143,520,1257,569,1257,944,0
687,830,488,828,600,828,439,914,632,914,391,914,681,914,504,1000,569,1000,504,1143,568,1143,520,1257,568,1257,916,0
687,801,600,828,472,828,632,885,456,914,664,914,407,914,504,1000,568,1000,520,1114,568,1143,520,1257,568,1257,916,0
687,801,600,828,488,828,632,914,456,914,664,914,407,914,569,1000,504,1000,568,1143,520,1114,569,1257,520,1257,916,0
687,801,600,828,472,828,616,885,456,914,664,914,423,942,568,1000,504,1000,568,1143,520,1114,569,1257,520,1257,916,0
335,548,411,609,651,609,394,761,702,761,342,792,720,792,462,944,582,914,462,1005,582,1036,497,1280,514,1280,761,0
365,548,411,609,651,609,377,792,702,792,325,822,720,822,462,944,600,883,462,1005,600,1158,497,1280,565,1310,792,0
365,548,411,640,634,609,377,792,685,792,325,853,720,822,480,944,600,944,462,1036,582,1127,514,1280,565,1310,792,0
365,548,411,640,634,609,377,792,668,761,308,853,737,822,480,975,600,944,480,1280,565,1249,514,1280,565,1280,792,0
335,548,411,609,651,609,360,792,685,761,291,853,754,792,480,944,582,914,462,1005,617,1097,514,1280,565,1280,792,0
335,518,411,609,634,579,360,761,685,731,274,792,771,761,462,944,600,914,462,975,600,1158,514,1280,565,1280,761,0
304,487,411,579,634,548,360,731,702,700,274,761,788,731,480,883,582,883,462,1036,600,1097,497,1280,565,1280,731,0
274,457,411,518,634,518,360,670,702,640,240,700,805,670,480,883,582,853,462,1036,582,1066,480,1249,582,1280,700,0
