Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
Head,Neck,0.9913820712793624,0.0,0.9827925118380245,0.0,0.9121072549307796,0.0
Head,RShoulder_X,0.6531990731908982,0.0,0.6760830916694656,0.0,0.48093566072329536,0.0
Head,RShoulder_Y,0.9865704100490053,0.0,0.973689978318361,0.0,0.8920820449441101,0.0
Head,LShoulder_X,0.13357797275977315,1.9023155358864688e-14,0.2611472864599644,5.8942305677443785e-52,0.18044994899951092,1.9095036417161126e-51
Head,LShoulder_Y,0.9876135999456744,0.0,0.9751107419514171,0.0,0.8934898069594899,0.0
Head,RElbow_X,0.5382227067809005,3.187516887353103e-244,0.6395129616062163,0.0,0.4434616943039785,6.5354917978530995e-304
Head,RElbow_Y,0.9658064001678098,0.0,0.9231067377533612,0.0,0.7969932998917192,0.0
Head,LElbow_X,0.016053782467851746,0.35957238687328485,0.2219476632951189,1.1741652597746841e-37,0.1571660608456784,1.2049016437012783e-39
Head,LElbow_Y,0.9640683818289545,0.0,0.9152706713036777,0.0,0.7858257891354103,0.0
Head,RWrist_X,0.449815576056362,4.050637209231433e-162,0.6009559044654414,2.8889e-319,0.4193175605421303,3.09853188679562e-272
Head,RWrist_Y,0.9144861996837729,0.0,0.8111239065584664,0.0,0.6445132395645381,0.0
Head,LWrist_X,0.0506902072238729,0.003797198409169432,-0.17064528704696263,1.0193191792172467e-22,-0.12089066740330269,3.106227848327497e-24
Head,LWrist_Y,0.9176654980102052,0.0,0.7942734465900486,0.0,0.6269736663781315,0.0
Head,RHip_X,0.6385626766021952,0.0,0.7141761303463386,0.0,0.5113099838879129,0.0
Head,RHip_Y,0.9254098119548082,0.0,0.8886809982852276,0.0,0.7425128811054489,0.0
Head,LHip_X,0.3408251656347451,1.9055314455945134e-89,0.4468650619681557,8.95915355964414e-160,0.30847074547627357,9.630899632900172e-147
Head,LHip_Y,0.9305606762239185,0.0,0.893852830697938,0.0,0.7495679253168249,0.0
Head,RKnee_X,0.630475796904439,0.0,0.6940871515508067,0.0,0.4953636226834761,0.0
Head,RKnee_Y,0.8001926280725988,0.0,0.7712698160055971,0.0,0.6028677189882387,0.0
Head,LKnee_X,0.34491673868820893,1.0619730021340627e-91,0.4297684419118236,1.2340686494162867e-146,0.29950290476920033,1.8085319275109902e-138
Head,LKnee_Y,0.7949584631279102,0.0,0.7809168943304358,0.0,0.611370169329156,0.0
Head,RAnkle_X,0.6308673541365296,0.0,0.7087674152473444,0.0,0.5158764683676558,0.0
Head,RAnkle_Y,0.6847870275448338,0.0,0.6888761560004194,0.0,0.5232621558712773,0.0
Head,LAnkle_X,0.33945568151925865,1.0637940854978724e-88,0.4522099718749128,4.871250603502432e-164,0.31993104603911543,1.5835944069616286e-157
Head,LAnkle_Y,0.6675988746187642,0.0,0.6742631242054112,0.0,0.5097757275003476,0.0
Head,Chest,0.9698387793036889,0.0,0.9444691751100595,0.0,0.8308490600786779,0.0
Neck,RShoulder_X,0.6417826224464188,0.0,0.654958800617339,0.0,0.4659152374535626,0.0
Neck,RShoulder_Y,0.9913522984180237,0.0,0.982337454505074,0.0,0.917118368718198,0.0
Neck,LShoulder_X,0.15332173770499022,1.3499194451276526e-18,0.2763719966521544,3.214836470841639e-58,0.19105310854234128,2.4840116288451086e-57
Neck,LShoulder_Y,0.9921805197204503,0.0,0.9826902212345593,0.0,0.9155677236308837,0.0
Neck,RElbow_X,0.5240116555634752,2.4425171122939262e-229,0.6154625750523604,0.0,0.42614467523905797,3.315313124926156e-280
Neck,RElbow_Y,0.9762620121584954,0.0,0.9482096239360115,0.0,0.8394798834751831,0.0
Neck,LElbow_X,0.037671173220991935,0.03151591420642617,0.2392437589957305,1.1983307835646288e-43,0.16927339921247184,1.2931228978522835e-45
Neck,LElbow_Y,0.9744806113166613,0.0,0.9401219023710967,0.0,0.8258170822582707,0.0
Neck,RWrist_X,0.4354517876733782,6.413280852046923e-151,0.5775861589661223,2.1375637938304966e-289,0.4010548301714005,1.0895210726079906e-248
Neck,RWrist_Y,0.9235696089712824,0.0,0.8387315428288511,0.0,0.6770617612173603,0.0
Neck,LWrist_X,0.02986623702370622,0.08824674572428697,-0.18699714979530052,4.9692457524861294e-27,-0.13243911062791489,1.0659954144016191e-28
Neck,LWrist_Y,0.9275594919197425,0.0,0.8235262993781355,0.0,0.6609627701331414,0.0
Neck,RHip_X,0.6330990390016246,0.0,0.6982739049675101,0.0,0.501616898020418,0.0
Neck,RHip_Y,0.9413701596070757,0.0,0.9139457142714992,0.0,0.7769129093709647,0.0
